name,lat,lon,contact_ph,url,ref,location
Powlett Reserve Childrens Centre,-37.81152228,144.98850987,9428 0896,,530624,"(-37.81152228, 144.98850987)"
Lady Huntingfield Children's Centre,-37.7984345,144.94495729,03 9328 2083,,104584,"(-37.7984345, 144.94495729)"
Kool Kidz@Goods Shed Docklands,-37.82020176,144.9507406,03 9614 2900,,651853,"(-37.82020176, 144.9507406)"
Hotham Hub Children's Centre,-37.79271146,144.94202167,03 9326 8655,,617536,"(-37.79271146, 144.94202167)"
Kids On Collins,-37.81871725,144.95487441,03 9629 4099,http://littleflyers.vic.edu.au/locations/kids-on-c,507495,"(-37.81871725, 144.95487441)"
Only About Children,-37.82180897,144.96287085,,,612634,"(-37.82180897, 144.96287085)"
Little Assets,-37.82227454,144.95359746,03 9620 2887,http://www.littleassets.com.au,667449,"(-37.82227454, 144.95359746)"
Penguin Childcare,-37.82047019,144.9488124,03 9600 3456,http://www.penguinchildcare.com.au,632666,"(-37.82047019, 144.9488124)"
Bambini Early Learning Centre,-37.79545923,144.95025171,13 0094 5745,http://www.bambinielc.com.au,661102,"(-37.79545923, 144.95025171)"
Try Youth & Community Child Care Centre,-37.78217027,144.91605471,03 9347 2655,http://www.tryyouth.org.au,629135,"(-37.78217027, 144.91605471)"
Thinking Kids Children's Centre,-37.77888928,144.94321742,03 8481 1100,http://www.ecms.org.au/thinking-kids-childrens-centre,633400,"(-37.77888928, 144.94321742)"
Co.As.It Tomasso Fiaschi Child Care Centre,-37.79601466,144.97410803,03 9347 1484,http://www.coasit.com.au,109056,"(-37.79601466, 144.97410803)"
Central Carlton Childrens Centre,-37.7940351,144.9694206,03 9347 4788,http://www.dhs.vic.gov.au,102696,"(-37.7940351, 144.9694206)"
The Harbour Family and Childrens Centre,-37.82054335,144.94306719,03 8624 1000,http://www.gowrie-melbourne.com.au,619559,"(-37.82054335, 144.94306719)"
Goodstart Early Learning Melbourne Flinders Street,-37.81794575,144.96528614,03 9671 3539,http://www.goodstart.org.au,592707,"(-37.81794575, 144.96528614)"
Lemon Tree Children's Centre,-37.8008196,144.96956172,03 9347 4949,http://www.lemontreecc.com.au,104488,"(-37.8008196, 144.96956172)"
Little Stars At Bourke Children Centre,-37.81530033,144.95903479,03 8622 1400,http://www.ku.com.au/ku.littlestars,639691,"(-37.81530033, 144.95903479)"
RMIT University Childcare Centre,-37.80805707,144.96131546,03 9662 1295,http://www.lab.3000.com.au,547408,"(-37.80805707, 144.96131546)"
North Melbourne Maternal & Child Health Centre,-37.79307895,144.94051513,03 9320 4724,http://www.melbourne.vic.gov.au,617520,"(-37.79307895, 144.94051513)"
Mission Australia Early Learning,-37.82895695,144.96968174,18 0075 7343,http://www.missionaustralia.com.au,664202,"(-37.82895695, 144.96968174)"
Sentia Early Learning,-37.81919421,144.95964143,03 9629 9860,http://www.sentia.net.au,641425,"(-37.81919421, 144.95964143)"
Early Learning Centre,-37.83119287,144.98610383,03 9862 9200,http://www.mggs.vic.edu.au,109894,"(-37.83119287, 144.98610383)"
Headstart Early Learning East Melbourne,-37.81778068,144.9789247,03 9639 9778,http://www.headstartelc.com.au,546191,"(-37.81778068, 144.9789247)"
Wimble Street Child Care Co-Operative,-37.79499106,144.95595487,03 9347 9103,http://www.wimblest.com.au,110181,"(-37.79499106, 144.95595487)"
Melbourne University Family Club Co-Operative,-37.79610216,144.96605617,03 9347 3518,http://www.familyclub.org.au,101626,"(-37.79610216, 144.96605617)"
University Of Melbourne Child Care,-37.79625086,144.96487025,03 9035 4300,http://www.pb.unimelb.edu.au/ehs/,109351,"(-37.79625086, 144.96487025)"
Melbourne City Childcare And Kindergarten,-37.81834866,144.95615597,03 9629 4099,http://www.littleflyers.vic.edu.au,595596,"(-37.81834866, 144.95615597)"
Little Stars @ Southern Cross,-37.81788857,144.95002508,03 9670 8278,http://www.ku.com.au,647066,"(-37.81788857, 144.95002508)"
Fawkner Park Childrens Centre Co Operative,-37.83755884,144.9797901,9820 2758,http://www.fawknerpark.com,579282,"(-37.83755884, 144.9797901)"
Kensington Community Children's Co-Operative,-37.79710602,144.92552634,03 9376 4565,http://www.kccc.org.au,563554,"(-37.79710602, 144.92552634)"
MAMA Midwives and Mothers Australia,-37.79241689,144.91946965,03 9376 7474,http://www.midwivesandmothers.com.au,104202,"(-37.79241689, 144.91946965)"
